Massey,Dokter
Michigan St,Michigan State
LSU,L.S.U.
Florida St,Florida State
Kansas St,Kansas State
Mississippi St,Mississippi State
Iowa St,Iowa State
VA Commonwealth,Virginia Commonwealth
UCF,Central Florida
NC State,North Carolina State
Utah St,Utah State
TCU,T.C.U.
Murray St,Murray State
Ohio St,Ohio State
St Mary's CA,St. Mary's
New Mexico St,New Mexico State
Arizona St,Arizona State
Penn St,Penn State
St John's,St. John's
UNC Greensboro,NC Greensboro
Fresno St,Fresno State
ETSU,East Tennessee State
Oregon St,Oregon State
Miami FL,Miami
BYU,B.Y.U.
Wichita St,Wichita State
Oklahoma St,Oklahoma State
S Dakota St,South Dakota State
Ga Southern,Georgia Southern
Georgia St,Georgia State
N Kentucky,Northern Kentucky
Col Charleston,College of Charleston
USC,Southern California
Penn,Pennsylvania
San Diego St,San Diego State
Kent,Kent State
St Louis,St. Louis
Southern Miss,Southern Mississippi
Texas St,Texas State
Loyola-Chicago,Loyola Chicago
WKU,Western Kentucky
Jacksonville St,Jacksonville State
SMU,Southern Methodist
C Michigan,Central Michigan
Loy Marymount,Loyola Marymount
Wright St,Wright State
St Bonaventure,St. Bonaventure
Abilene Chr,Abilene Christian
Ball St,Ball State
S Illinois,Southern Illinois
Miami OH,Miami (Ohio)
UAB,U.A.B.
UT San Antonio,UTSA
NE Omaha,Nebraska Omaha
E Michigan,Eastern Michigan
N Illinois,Northern Illinois
ULM,Louisiana Monroe
Louisiana,Louisiana Lafayette
UT Arlington,Texas Arlington
N Colorado,Northern Colorado
Sam Houston St,Sam Houston State
Boise St,Boise State
Coastal Car,Coastal Carolina
FL Atlantic,Florida Atlantic
NJIT,New Jersey Tech
St Joseph's PA,St. Joseph's
UTRGV,
Missouri St,Missouri State
Florida Intl,Florida International
Illinois St,Illinois State
Colorado St,Colorado State
PFW,IUPU Fort Wayne
Charleston So,Charleston Southern
WI Green Bay,Wisconsin Green Bay
CS Fullerton,Cal State Fullerton
Weber St,Weber State
Indiana St,Indiana State
IL Chicago,Illinois Chicago
CS Bakersfield,Cal State Bakersfield
Washington St,Washington State
N Dakota St,North Dakota State
UMBC,MD Baltimore County
Cal Baptist,California Baptist
TX Southern,Texas Southern
F Dickinson,Fairleigh Dickinson
Prairie View,Prairie View A&M
American Univ,American
Long Beach St,Long Beach State
St Francis PA,St. Francis PA
Appalachian St,Appalachian State
FL Gulf Coast,Florida Gulf Coast
Boston Univ,Boston University
E Washington,Eastern Washington
Norfolk St,Norfolk State
MTSU,Middle Tennessee St.
SE Louisiana,Southeastern Louisiana
Arkansas St,Arkansas State
Montana St,Montana State
E Kentucky,Eastern Kentucky
Missouri KC,Missouri Kansas City
Portland St,Portland State
Ark Little Rock,Arkansas Little Rock
LIU Brooklyn,Long Island
Citadel,The Citadel
Morehead St,Morehead State
MA Lowell,UMass Lowell
CS Northridge,Cal State Northridge
St Francis NY,St. Francis NY
NC A&T,North Carolina A&T
Monmouth NJ,Monmouth
TAM C. Christi,Texas A&M CC
W Michigan,Western Michigan
UNC Wilmington,NC Wilmington
CS Sacramento,Sacramento State
Youngstown St,Youngstown State
Loyola MD,Loyola Maryland
Albany NY,Albany
Houston Bap,Houston Baptist
G Washington,George Washington
Grambling,Grambling State
Cleveland St,Cleveland State
Charlotte,NC Charlotte
TN Martin,Tennessee Martin
E Illinois,Eastern Illinois
SF Austin,Stephen F. Austin
VMI,V.M.I.
Cent Arkansas,Central Arkansas
W Carolina,Western Carolina
NC Central,North Carolina Central
WI Milwaukee,Wisconsin Milwaukee
Bethune-Cookman,Bethune Cookman
W Illinois,Western Illinois
Nicholls St,Nicholls State
Idaho St,Idaho State
Tennessee St,Tennessee State
SE Missouri St,Southeast Missouri St.
St Peter's,St. Peter's
Ark Pine Bluff,Arkansas Pine Bluff
Central Conn,Central Connecticut
Jackson St,Jackson State
Mt St Mary's,Mount St. Mary's
SIUE,SIU Edwardsville
Alabama St,Alabama State
McNeese St,McNeese State
Northwestern LA,Northwestern State
Cal Poly,Cal Poly SLO
Morgan St,Morgan State
Savannah St,Savannah State
Kennesaw,Kennesaw State
Southern Univ,Southern
San Jose St,San Jose State
S Carolina St,South Carolina State
SC Upstate,USC Upstate
Coppin St,Coppin State
Alcorn St,Alcorn State
UNC Asheville,NC Asheville
MS Valley St,Mississippi Valley St.
MD E Shore,Maryland Eastern Shore
Chicago St,Chicago State
Delaware St,Delaware State
