Massey,Kenpom
Michigan St,Michigan St.
Florida St,Florida St.
Kansas St,Kansas St.
Mississippi St,Mississippi St.
Iowa St,Iowa St.
VA Commonwealth,VCU
NC State,North Carolina St.
Utah St,Utah St.
Murray St,Murray St.
Ohio St,Ohio St.
St Mary's CA,Saint Mary's
New Mexico St,New Mexico St.
Arizona St,Arizona St.
Penn St,Penn St.
St John's,St. John's
Fresno St,Fresno St.
ETSU,East Tennessee St.
Oregon St,Oregon St.
Wichita St,Wichita St.
Oklahoma St,Oklahoma St.
S Dakota St,South Dakota St.
Ga Southern,Georgia Southern
Georgia St,Georgia St.
N Kentucky,Northern Kentucky
Col Charleston,Charleston
San Diego St,San Diego St.
Kent,Kent St.
St Louis,Saint Louis
Texas St,Texas St.
Loyola-Chicago,Loyola Chicago
WKU,Western Kentucky
Jacksonville St,Jacksonville St.
C Michigan,Central Michigan
Loy Marymount,Loyola Marymount
Wright St,Wright St.
St Bonaventure,St. Bonaventure
Abilene Chr,Abilene Christian
Ball St,Ball St.
S Illinois,Southern Illinois
UT San Antonio,UTSA
NE Omaha,Nebraska Omaha
E Michigan,Eastern Michigan
N Illinois,Northern Illinois
ULM,Louisiana Monroe
N Colorado,Northern Colorado
Sam Houston St,Sam Houston St.
Boise St,Boise St.
Coastal Car,Coastal Carolina
FL Atlantic,Florida Atlantic
St Joseph's PA,Saint Joseph's
UTRGV,UT Rio Grande Valley
Missouri St,Missouri St.
Florida Intl,FIU
Illinois St,Illinois St.
Colorado St,Colorado St.
PFW,Purdue Fort Wayne
Charleston So,Charleston Southern
WI Green Bay,Green Bay
CS Fullerton,Cal St. Fullerton
Weber St,Weber St.
Indiana St,Indiana St.
IL Chicago,Illinois Chicago
CS Bakersfield,Cal St. Bakersfield
Washington St,Washington St.
N Dakota St,North Dakota St.
TX Southern,Texas Southern
F Dickinson,Fairleigh Dickinson
Prairie View,Prairie View A&M
American Univ,American
Long Beach St,Long Beach St.
St Francis PA,St. Francis PA
Appalachian St,Appalachian St.
FL Gulf Coast,Florida Gulf Coast
Boston Univ,Boston University
E Washington,Eastern Washington
Norfolk St,Norfolk St.
MTSU,Middle Tennessee
SE Louisiana,Southeastern Louisiana
Arkansas St,Arkansas St.
Montana St,Montana St.
E Kentucky,Eastern Kentucky
Missouri KC,UMKC
Portland St,Portland St.
Ark Little Rock,Little Rock
Citadel,The Citadel
Morehead St,Morehead St.
MA Lowell,UMass Lowell
CS Northridge,Cal St. Northridge
St Francis NY,St. Francis NY
NC A&T,North Carolina A&T
Monmouth NJ,Monmouth
TAM C. Christi,Texas A&M Corpus Chris
W Michigan,Western Michigan
CS Sacramento,Sacramento St.
Youngstown St,Youngstown St.
Albany NY,Albany
Houston Bap,Houston Baptist
G Washington,George Washington
Grambling,Grambling St.
Cleveland St,Cleveland St.
TN Martin,Tennessee Martin
E Illinois,Eastern Illinois
SF Austin,Stephen F. Austin
Cent Arkansas,Central Arkansas
W Carolina,Western Carolina
NC Central,North Carolina Central
WI Milwaukee,Milwaukee
Bethune-Cookman,Bethune Cookman
W Illinois,Western Illinois
Nicholls St,Nicholls St.
Idaho St,Idaho St.
Tennessee St,Tennessee St.
SE Missouri St,Southeast Missouri St.
St Peter's,Saint Peter's
Ark Pine Bluff,Arkansas Pine Bluff
Central Conn,Central Connecticut
Jackson St,Jackson St.
Mt St Mary's,Mount St. Mary's
SIUE,SIU Edwardsville
Alabama St,Alabama St.
McNeese St,McNeese St.
Northwestern LA,Northwestern St.
Morgan St,Morgan St.
Savannah St,Savannah St.
Kennesaw,Kennesaw St.
Southern Univ,Southern
San Jose St,San Jose St.
S Carolina St,South Carolina St.
SC Upstate,USC Upstate
Coppin St,Coppin St.
Alcorn St,Alcorn St.
MS Valley St,Mississippi Valley St.
MD E Shore,Maryland Eastern Shore
Chicago St,Chicago St.
Delaware St,Delaware St.
